Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
hm-cotton-overshirt,Cotton Twill Overshirt,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",H&M India,Apparel & Accessories > Clothing,Shirt,"men, workwear, olive, H&M, Harito",TRUE,Size,M,1599,2299,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1603252109303-2751441dd157?auto=format&fit=crop&w=900&q=80,Cotton Twill Overshirt | Harito,Olive men's workwear overshirt curated by Harito.,draft
zara-relaxed-linen-shirt,Relaxed Linen Blend Shirt,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Zara India,Apparel & Accessories > Clothing,Shirt,"men, casual, white, Zara, Harito",TRUE,Size,M,1990,2990,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&w=900&q=80,Relaxed Linen Blend Shirt | Harito,White men's relaxed shirt curated by Harito.,draft
tatacliq-westside-dress,Printed Midi Dress,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Tata CLiQ,Apparel & Accessories > Clothing,Dress,"women, dresses, blue, Westside, Tata CLiQ, Harito",TRUE,Size,M,1499,2499,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=900&q=80,Printed Midi Dress | Harito,Blue women's midi dress curated by Harito.,draft
amazon-puma-sneaker,Retro Street Sneakers,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Amazon Associates,Apparel & Accessories > Shoes,Sneaker,"men, footwear, white, Puma, Harito",TRUE,Size,8,2999,4599,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1549298916-b41d501d3772?auto=format&fit=crop&w=900&q=80,Retro Street Sneakers | Harito,White men's retro sneakers curated by Harito.,draft
flipkart-baggy-jeans,Baggy Fit Jeans,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Flipkart Affiliate,Apparel & Accessories > Clothing,Baggy jeans,"women, denim, light blue, Tokyo Talkies, Harito",TRUE,Size,28,1199,2499,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&w=900&q=80,Baggy Fit Jeans | Harito,Light blue women's baggy jeans curated by Harito.,draft
myntra-oversized-tee,Oversized Cotton T Shirt,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Myntra,Apparel & Accessories > Clothing,Baggy t shirt,"men, casual, white, HIGHLANDER, Harito",TRUE,Size,M,699,1499,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=900&q=80,Oversized Cotton T Shirt | Harito,White men's oversized cotton T-shirt curated by Harito.,draft
impact-new-balance-574,Classic 574 Sneakers,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Impact,Apparel & Accessories > Shoes,Sneaker,"women, footwear, grey, New Balance, Harito",TRUE,Size,6,6999,9999,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?auto=format&fit=crop&w=900&q=80,Classic 574 Sneakers | Harito,Grey women's classic sneakers curated by Harito.,draft
rakuten-levis-straight-jeans,Straight Fit Jeans,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Rakuten Advertising,Apparel & Accessories > Clothing,Jeans,"men, denim, indigo, Levi's, Harito",TRUE,Size,32,1999,2799,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&w=900&q=80,Straight Fit Jeans | Harito,Indigo men's straight fit jeans curated by Harito.,draft
awin-floral-top,Floral Casual Top,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Awin,Apparel & Accessories > Clothing,Top,"women, casual, pink, Mango, Harito",TRUE,Size,M,1890,2590,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1495385794356-15371f348c31?auto=format&fit=crop&w=900&q=80,Floral Casual Top | Harito,Pink women's floral casual top curated by Harito.,draft
admitad-sports-shorts,Training Flex Shorts,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",Admitad,Apparel & Accessories > Clothing,Shorts,"men, sportswear, navy, Under Armour, Harito",TRUE,Size,M,1499,2599,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1483721310020-03333e577078?auto=format&fit=crop&w=900&q=80,Training Flex Shorts | Harito,Navy men's training shorts curated by Harito.,draft
cj-tailored-blazer,Tailored Stretch Blazer,"<p>Curated Harito fashion listing. Checkout and delivery should happen through the approved vendor or your verified supply workflow.</p>",CJ Affiliate,Apparel & Accessories > Clothing,Blazer,"women, workwear, black, Marks & Spencer, Harito",TRUE,Size,38,4899,6499,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1593032465171-8bd1f7f6a6f8?auto=format&fit=crop&w=900&q=80,Tailored Stretch Blazer | Harito,Black women's tailored blazer curated by Harito.,draft
